date,state,market,crop,min_price,max_price,modal_price
"2026-07-19","Karnataka","Hubballi APMC","onion","1860","2200","2030"
"2026-07-19","Karnataka","Hubballi APMC","paddy","9137","9857","9497"
"2026-07-19","Karnataka","Hubballi APMC","potato","980","1260","1120"
"2026-07-19","Karnataka","Hubballi APMC","tomato","1361","1721","1541"
"2026-07-19","Karnataka","KR Market, Bengaluru","onion","1918","2258","2088"
"2026-07-19","Karnataka","KR Market, Bengaluru","paddy","9228","9948","9588"
"2026-07-19","Karnataka","KR Market, Bengaluru","potato","1038","1318","1178"
"2026-07-19","Karnataka","KR Market, Bengaluru","tomato","1412","1772","1592"
"2026-07-19","Maharashtra","Lasalgaon Mandi","onion","1911","2251","2081"
"2026-07-19","Maharashtra","Lasalgaon Mandi","paddy","9180","9900","9540"
"2026-07-19","Maharashtra","Lasalgaon Mandi","potato","1032","1312","1172"
"2026-07-19","Maharashtra","Lasalgaon Mandi","tomato","1412","1772","1592"
"2026-07-19","Maharashtra","Nashik APMC","onion","1861","2201","2031"
"2026-07-19","Maharashtra","Nashik APMC","paddy","9192","9912","9552"
"2026-07-19","Maharashtra","Nashik APMC","potato","984","1264","1124"
"2026-07-19","Maharashtra","Nashik APMC","tomato","1350","1710","1530"
"2026-07-19","Maharashtra","Pune Market Yard","onion","2033","2373","2203"
"2026-07-19","Maharashtra","Pune Market Yard","paddy","9329","10049","9689"
"2026-07-19","Maharashtra","Pune Market Yard","potato","1152","1432","1292"
"2026-07-19","Maharashtra","Pune Market Yard","tomato","1530","1890","1710"
"2026-07-19","Punjab","Jalandhar APMC","onion","1927","2267","2097"
"2026-07-19","Punjab","Jalandhar APMC","paddy","9201","9921","9561"
"2026-07-19","Punjab","Jalandhar APMC","potato","1047","1327","1187"
"2026-07-19","Punjab","Jalandhar APMC","tomato","1428","1788","1608"
"2026-07-19","Punjab","Ludhiana Grain Market","onion","1975","2315","2145"
"2026-07-19","Punjab","Ludhiana Grain Market","paddy","9276","9996","9636"
"2026-07-19","Punjab","Ludhiana Grain Market","potato","1094","1374","1234"
"2026-07-19","Punjab","Ludhiana Grain Market","tomato","1471","1831","1651"
